# pinax figure data — xlabel=t ylabel=x(t)
series,x,y
y1,5.82,0.023508067688023965
y1,5.83,0.027249867753251313
y1,5.84,0.03094079667261736
y1,5.85,0.03457785426308623
y1,5.86,0.038158110238363595
y1,5.87,0.041678706384941935
y1,5.88,0.04513685865746141
y1,5.89,0.048529859192025085
y1,5.9,0.051855078236231054
y1,5.91,0.055109965994729254
y1,5.92,0.05829205438923415
y1,5.93,0.06139895873197189
y1,5.94,0.0644283793116548
y1,5.95,0.06737810289115165
y1,5.96,0.07024600411610364
y1,5.97,0.07303004683383232
y1,5.98,0.07572828532195926
y1,5.99,0.07833886542625856
y1,6.0,0.08086002560733642
y1,6.01,0.0832900978958205
y1,6.02,0.08562750875583465
y1,6.03,0.08787077985661025
y1,6.04,0.09001852875217198
y1,6.05,0.0920694694691257
y1,6.06,0.09402241300265346
y1,6.07,0.09587626772090184
y1,6.08,0.09763003967804101
y1,6.09,0.09928283283634168
y1,6.1,0.10083384919770684
y1,6.11,0.10228238884516677
y1,6.12,0.1036278498949287
y1,6.13,0.10486972835965286
y1,6.14,0.1060076179236902
y1,6.15,0.10704120963110873
y1,6.16,0.10797029148739293
y1,6.17,0.1087947479757877
y1,6.18,0.10951455948931572
y1,6.19,0.11012980167957552
y1,6.2,0.11064064472349354
y1,6.21,0.11104735250926684
y1,6.22,0.11135028174280219
y1,6.23,0.11154988097601597
y1,6.24,0.1116466895584261
y1,6.25,0.11164133651352168
y1,6.26,0.11153453934145759
y1,6.27,0.11132710274967603
y1,6.28,0.1110199173131118
y1,6.29,0.11061395806569016
y1,6.3,0.11011028302487681
y1,6.31,0.10951003165108836
y1,6.32,0.10881442324381832
y1,6.33,0.10802475527637696
y1,6.34,0.1071424016711885
y1,6.35,0.10616881101762622
y1,6.36,0.10510550473440784
y1,6.37,0.1039540751786084
y1,6.38,0.1027161837033789
y1,6.39,0.10139355866649895
y1,6.4,0.09998799339191207
y1,6.41,0.09850134408642808
y1,6.42,0.09693552771379538
y1,6.43,0.09529251982837667
y1,6.44,0.09357435237067714
y1,6.45,0.09178311142699468
y1,6.46,0.08992093495547997
y1,6.47,0.08799001048090661
y1,6.48,0.08599257276046729
y1,6.49,0.08393090142291659
y1,6.5,0.08180731858339421
y1,6.51,0.07962418643626769
y1,6.52,0.07738390482833307
y1,6.53,0.07508890881471755
y1,6.54,0.07274166619982936
y1,6.55,0.07034467506568921
y1,6.56,0.06790046128998153
y1,6.57,0.065411576056154
y1,6.58,0.06288059335788097
y1,6.59,0.06031010750020108
y1,6.6,0.057702730599622
y1,6.61,0.05506109008547374
y1,6.62,0.052387826204773856
y1,6.63,0.04968558953284062
y1,6.64,0.04695703849189002
y1,6.65,0.04420483687980247
y1,6.66,0.041431651411248153
y1,6.67,0.0386401492733052
y1,6.68,0.03583299569770562
y1,6.69,0.033012851551791726
y1,6.7,0.03018237095024294
y1,6.71,0.02734419888960176
y1,6.72,0.02450096890758681
y1,6.73,0.021655300769152543
y1,6.74,0.01880979818120661
y1,6.75,0.01596704653786491
y1,6.76,0.013129610698083974
